Player,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,,RUSHING,RECEIVING,MISC,,,,,
Khalil Herbert CHI,RB50,147.9,597.0,3.4,16.6,114.6,0.9,0.8,111.5
Noah Fant SEA,TE22,0.0,0.0,0.0,45.9,490.2,2.8,0.1,111.4
Tyler Boyd TEN,WR81,1.3,7.6,0.0,46.3,500.9,2.4,0.5,110.9
Jalen McMillan TB,WR82,0.7,7.5,0.0,42.2,502.9,3.2,0.7,110.7
Jermaine Burton CIN,WR83,0.7,4.3,0.0,39.9,507.0,3.3,0.8,109.4
Juwan Johnson NO,TE23,0.0,0.0,0.0,40.5,441.4,4.1,0.1,109.3
Taysom Hill NO,TE24,37.9,266.8,2.9,27.5,261.5,2.1,0.3,109.3
Odell Beckham Jr. MIA,WR84,0.0,2.3,0.0,37.4,509.6,3.4,0.4,108.4
Ricky Pearsall SF,WR85,2.2,14.5,0.1,37.6,485.1,3.5,0.7,107.6
Roman Wilson PIT,WR86,0.7,10.0,0.0,38.2,496.2,2.9,0.4,105.4
Jalin Hyatt NYG,WR87,0.0,1.0,0.0,39.6,501.8,2.4,0.3,103.4
Jalen Tolbert DAL,WR88,0.0,2.3,0.0,36.9,457.1,3.0,0.2,100.2
Luke McCaffrey WAS,WR89,2.0,15.7,0.1,38.5,447.9,2.3,0.1,98.7
Troy Franklin DEN,WR90,1.0,4.7,0.0,36.2,458.3,2.7,0.7,97.4
Hayden Hurst LAC,TE25,0.0,0.0,0.0,40.5,390.8,2.9,0.1,96.6
Jonnu Smith MIA,TE26,0.0,0.0,0.0,37.8,415.6,2.8,0.4,95.6
Elijah Moore CLE,WR91,4.4,14.7,0.0,37.1,426.6,2.5,0.4,95.4
Zay Jones ARI,WR92,0.3,3.0,0.0,38.1,403.8,2.7,0.5,93.9
Greg Dortch ARI,WR93,3.2,21.2,0.1,38.0,387.7,2.4,0.1,93.3
Isaiah Likely BAL,TE27,0.0,0.0,0.0,32.2,388.1,3.7,0.0,93.2
MarShawn Lloyd GB,RB51,102.2,405.3,3.2,16.4,130.8,1.0,1.1,92.9
Kendre Miller NO,RB52,83.8,342.8,2.4,21.3,169.8,1.0,0.8,91.5
