Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,RUSHING,RECEIVING,MISC,,,,,
Isaiah Spiller LAC,30.7,99.8,0.7,4.8,30.1,0.1,0.0,22.8
Craig Reynolds DET,21.6,102.5,0.8,4.1,33.4,0.1,0.1,22.7
Kevin Harris NE,6.0,99.8,0.8,4.6,33.8,0.0,0.0,22.7
Hunter Luepke DAL,8.7,31.2,1.4,5.7,39.5,0.2,0.0,22.3
Dare Ogunbowale HOU,16.7,60.3,0.2,8.1,59.4,0.2,0.1,22.3
Trayveon Williams CIN,24.5,84.2,0.5,5.5,36.1,0.2,0.1,21.4
Kenny McIntosh SEA,27.6,82.6,0.4,5.1,36.5,0.2,0.1,20.3
Nick Bawden HOU,5.4,17.5,2.1,2.5,21.0,0.1,0.0,19.3
Pierre Strong Jr. CLE,19.2,103.4,0.7,2.7,19.9,0.0,0.0,19.2
Julius Chestnut TEN,14.8,62.1,0.4,5.3,37.6,0.2,0.2,18.3
Jeff Wilson Jr. MIA,15.6,86.5,0.7,3.0,21.7,0.1,0.0,18.2
Emanuel Wilson GB,2.2,70.5,0.5,4.1,29.9,0.1,0.0,17.6
Jordan Mims NO,0.0,68.0,1.0,3.0,18.0,0.0,0.0,17.6
Jaret Patterson LAC,16.7,71.0,0.4,4.0,27.5,0.1,0.1,16.7
Emani Bailey KC,29.0,87.5,0.5,2.5,23.0,0.0,0.0,16.6
Tyler Goodson IND,2.4,61.4,0.5,4.0,28.7,0.1,0.0,16.4
Joshua Kelley NYG,2.2,71.2,0.5,3.5,24.0,0.0,0.0,16.0
Cam Akers HOU,11.6,79.5,0.6,2.5,17.8,0.1,0.0,16.0
Carlos Washington Jr. ATL,0.0,37.0,1.0,4.0,22.0,0.0,0.0,15.9
Alec Ingold MIA,1.1,4.4,0.0,7.6,55.3,0.3,0.1,15.3
JaMycal Hasty NE,15.7,52.0,0.2,4.5,31.2,0.1,0.1,14.9
Cody Schrader SF,33.0,84.5,0.5,1.5,14.5,0.0,0.0,14.4
Boston Scott LAR,2.3,54.3,0.6,2.5,19.2,0.1,0.0,13.7
Israel Abanikanda NYJ,17.2,63.6,0.3,2.7,18.9,0.1,0.1,13.5
Raheem Blackshear CAR,6.1,35.8,0.2,4.5,33.5,0.0,0.0,12.4
Matt Breida SF,2.5,45.5,0.5,2.5,18.5,0.1,0.0,12.4
Keaontay Ingram KC,15.4,51.8,0.3,2.9,18.6,0.1,0.0,12.1
Dante Miller NYG,7.1,29.3,0.2,4.2,28.1,0.2,0.1,12.0
Louis Rees-Zammit KC,10.9,45.3,0.4,2.2,15.3,0.1,0.1,10.8
Sean Tucker TB,10.0,38.8,0.2,2.8,20.5,0.1,0.0,10.4
Kene Nwangwu MIN,9.6,42.7,0.2,2.7,17.8,0.1,0.0,10.3
Chris Brooks MIA,6.9,29.4,0.2,3.2,21.9,0.2,0.1,10.2
Michael Burton DEN,5.1,20.7,0.1,4.0,26.4,0.2,0.1,10.2
La'Mical Perine PIT,12.7,38.8,0.2,2.8,18.7,0.1,0.0,9.8
DeeJay Dallas ARI,5.3,30.3,0.1,3.7,24.5,0.0,0.0,9.7
Reggie Gilliam BUF,0.0,0.0,0.0,4.5,33.7,0.3,0.0,9.5
Avery Williams ATL,4.4,18.3,0.2,3.3,22.5,0.2,0.0,9.4
Myles Gaskin MIN,13.5,44.1,0.2,2.1,13.0,0.1,0.1,9.2
Darrynton Evans BUF,5.1,20.8,0.1,3.1,23.1,0.2,0.0,9.1
Travis Homer CHI,2.3,32.3,0.0,3.1,22.1,0.1,0.0,9.0
Tucker Fisk LAC,0.0,0.0,0.0,4.4,31.3,0.2,0.0,9.0
Giovanni Ricci CLE,2.4,10.0,0.0,4.0,28.5,0.2,0.0,8.8
Malik Davis DAL,2.3,32.1,0.0,2.6,19.5,0.1,0.0,8.3
Adam Prentice NO,3.3,14.0,0.1,3.3,23.1,0.1,0.0,8.1
Sione Vaki DET,12.7,39.6,0.2,1.5,9.7,0.0,0.0,7.9
Keilan Robinson JAC,0.0,33.0,0.0,2.0,15.0,0.0,0.0,6.8
Gary Brightwell JAC,4.3,17.5,0.2,2.0,12.8,0.0,0.0,6.1
Patrick Ricard BAL,2.7,10.9,0.0,2.3,16.2,0.2,0.0,6.0
Hassan Haskins TEN,2.3,27.6,0.0,1.9,12.4,0.0,0.0,6.0
Zonovan Knight DET,2.4,9.3,0.0,2.2,16.2,0.2,0.0,5.8
J.J. Taylor HOU,2.2,8.8,0.0,2.2,16.2,0.2,0.0,5.7
Jake Funk DET,2.4,9.4,0.0,2.1,16.1,0.2,0.0,5.7
Jermar Jefferson DET,2.4,9.5,0.0,2.1,15.9,0.2,0.0,5.7
Snoop Conner DAL,2.3,9.2,0.0,2.1,15.6,0.2,0.0,5.6
Elijah Dotson LAC,2.3,16.6,0.0,2.1,14.8,0.1,0.0,5.6
James Robinson NO,2.4,10.1,0.0,2.1,13.5,0.2,0.0,5.5
Khari Blasingame CHI,2.3,9.3,0.0,2.1,14.5,0.2,0.0,5.5
Spencer Brown ATL,4.7,18.8,0.0,2.0,13.8,0.0,0.0,5.4
Zach Evans LAR,2.3,20.6,0.0,1.5,12.1,0.1,0.0,5.3
Patrick Taylor Jr. SF,2.5,13.5,0.0,2.0,13.9,0.1,0.0,5.2
John Kelly Jr. BAL,2.4,9.9,0.0,2.0,13.8,0.1,0.0,5.0
C.J. Ham MIN,2.2,8.6,0.0,2.1,15.4,0.0,0.0,4.7
Jakob Johnson NYG,2.2,8.8,0.0,2.0,12.2,0.0,0.0,4.1
Mike Boone CAR,0.0,0.0,0.0,2.0,14.0,0.0,0.0,3.4
Tyrion Davis-Price PHI,0.0,17.0,0.0,1.0,3.0,0.0,0.0,3.0
