Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
,RECEIVING,RUSHING,MISC,,,,,
A.T. Perry NO,20.4,302.1,2.4,0.3,1.8,0.0,0.0,64.9
Kalif Raymond DET,23.7,287.1,1.6,2.2,24.7,0.1,0.2,64.3
Jalen Nailor MIN,23.8,297.1,1.5,0.0,0.3,0.0,0.0,62.3
Calvin Austin III PIT,22.9,261.0,1.5,4.5,36.3,0.1,0.1,62.1
Jauan Jennings SF,20.8,255.0,1.7,0.0,3.3,0.0,0.1,56.3
Parris Campbell PHI,23.3,228.7,1.5,0.7,5.8,0.0,0.1,55.8
Xavier Gipson NYJ,19.1,218.2,1.6,4.6,32.5,0.2,0.1,54.3
K.J. Osborn NE,20.3,248.6,1.5,0.0,2.0,0.0,0.0,54.0
Tutu Atwell LAR,18.4,242.3,1.2,2.2,14.1,0.1,0.1,51.8
KhaDarel Hodge ATL,17.2,228.5,1.4,0.0,0.0,0.0,0.2,48.0
Brandon Johnson DEN,14.1,189.0,2.5,0.0,2.3,0.0,0.0,47.9
Noah Brown HOU,15.4,212.9,1.4,0.0,1.0,0.0,0.1,45.3
Trenton Irwin CIN,16.1,206.5,1.4,0.0,1.5,0.0,0.0,45.0
Lil'Jordan Humphrey DEN,12.0,155.3,2.6,0.0,0.0,0.0,0.0,43.1
Jake Bobo SEA,15.0,174.1,1.3,4.2,18.5,0.2,0.1,42.7
Bub Means NO,15.1,183.1,1.2,0.0,0.0,0.0,0.1,40.6
Quez Watkins PIT,14.0,196.0,1.0,0.0,5.0,0.0,0.0,40.1
David Bell CLE,14.6,150.4,1.4,0.0,1.0,0.0,0.0,38.2
Jamison Crowder WAS,16.7,165.2,0.7,0.0,0.0,0.0,0.2,37.2
Dyami Brown WAS,13.3,175.6,0.9,0.0,1.0,0.0,0.1,36.6
Mack Hollins BUF,12.8,165.0,1.2,0.0,0.0,0.0,0.0,36.2
Brandon Powell MIN,14.4,144.1,0.9,1.9,14.6,0.0,0.1,35.4
Kadarius Toney KC,11.0,121.6,0.8,7.5,44.5,0.2,0.1,34.0
Justin Watson KC,11.3,158.7,1.1,0.0,0.0,0.0,0.1,33.8
Cornelius Johnson LAC,11.0,166.0,1.0,0.0,0.0,0.0,0.0,33.6
Malik Washington MIA,11.7,145.0,0.9,2.1,13.3,0.1,0.0,32.9
Marquez Valdes-Scantling BUF,10.0,156.1,1.2,0.0,1.0,0.0,0.0,32.6
Ryan Flournoy DAL,12.0,141.2,1.1,0.0,0.0,0.0,0.0,32.5
Allen Lazard NYJ,11.2,146.6,1.1,0.0,0.7,0.0,0.1,32.4
Jamari Thrash CLE,11.0,141.0,1.0,0.0,6.0,0.0,0.0,31.7
Brenden Rice LAC,11.0,138.0,1.0,0.0,4.0,0.0,0.0,31.2
Mason Tipton NO,12.0,131.0,1.0,0.0,0.0,0.0,0.0,31.1
Jacob Cowing SF,11.0,134.0,1.0,0.0,6.0,0.0,0.0,31.0
Tahj Washington MIA,11.0,131.0,1.0,0.0,0.0,0.0,0.0,30.1
Casey Washington ATL,10.7,128.8,1.0,0.0,0.0,0.0,0.0,29.4
Tejhaun Palmer ARI,11.0,122.0,1.0,0.0,0.0,0.0,0.0,29.2
Marcus Rosemy-Jacksaint WAS,10.0,126.0,1.0,0.0,6.0,0.0,0.0,29.2
Nikko Remigio KC,10.0,130.0,1.0,0.0,0.0,0.0,0.0,29.0
Jordan Whittington LAR,10.8,129.5,0.9,0.0,0.0,0.0,0.0,29.0
Ainias Smith PHI,10.4,128.3,0.9,0.0,3.0,0.0,0.0,28.7
Devaughn Vele DEN,10.0,123.0,1.0,0.0,0.0,0.0,0.0,28.3
Russell Gage BAL,10.0,114.0,1.0,0.0,3.0,0.0,0.0,27.7
Tyler Scott CHI,9.5,107.8,0.9,2.1,18.2,0.1,0.0,27.4
Johnny Wilson PHI,10.2,121.4,0.7,0.0,2.5,0.0,0.0,27.1
Derius Davis LAC,8.2,93.8,0.7,6.7,38.6,0.1,0.1,25.8
Jalen Brooks DAL,10.9,99.6,0.7,0.0,0.0,0.0,0.0,25.2
Donovan Peoples-Jones DET,8.8,120.1,0.7,0.0,1.3,0.0,0.0,24.9
Nick Westbrook-Ikhine TEN,8.9,118.6,0.7,0.0,1.3,0.0,0.1,24.8
Trent Sherfield Sr. MIN,9.3,114.7,0.7,0.0,1.3,0.0,0.0,24.7
Skyy Moore KC,8.7,101.5,0.8,0.0,3.0,0.0,0.1,23.8
Jalen Guyton LV,7.0,96.8,0.6,6.0,25.0,0.2,0.1,23.5
Isaiah Hodgins NYG,8.7,108.9,0.6,0.0,2.0,0.0,0.0,23.3
D.J. Montgomery IND,8.8,105.3,0.6,0.0,3.0,0.0,0.0,23.1
Danny Gray SF,7.0,94.0,1.0,0.0,4.0,0.0,0.0,22.8
Mecole Hardman Jr. KC,7.6,96.4,0.7,0.0,13.0,0.0,0.0,22.6
Allen Robinson II NYG,9.1,89.0,0.7,0.0,2.0,0.0,0.0,22.2
Xavier Hutchinson HOU,7.9,98.5,0.6,0.0,9.5,0.0,0.0,22.2
Rakim Jarrett TB,7.8,97.3,0.6,0.0,5.0,0.0,0.0,21.6
Robbie Chosen SF,7.6,89.5,0.8,0.0,2.0,0.0,0.0,21.5
Isaiah McKenzie NYG,9.0,80.1,0.5,1.9,10.1,0.1,0.1,21.5
David Moore CAR,7.5,100.6,0.6,0.0,1.7,0.0,0.1,21.2
Robert Woods HOU,8.3,86.8,0.6,0.0,2.0,0.0,0.0,20.9
Devin Duvernay JAC,8.1,82.5,0.4,3.3,16.9,0.1,0.1,20.8
Olamide Zaccheaus WAS,7.2,96.6,0.6,0.0,2.5,0.0,0.0,20.7
Anthony Gould IND,7.6,89.4,0.7,0.0,0.0,0.0,0.0,20.5
Ihmir Smith-Marsette CAR,8.6,67.1,0.4,2.1,18.1,0.1,0.0,20.2
Chris Moore ARI,7.1,88.0,0.6,0.0,5.0,0.0,0.0,19.9
Braxton Berrios MIA,8.2,79.4,0.5,0.0,2.7,0.0,0.0,19.4
John Metchie III HOU,6.9,81.6,0.5,0.0,2.7,0.0,0.0,18.4
Nsimba Webster CHI,6.9,80.6,0.6,0.0,0.0,0.0,0.0,18.4
Justyn Ross KC,6.1,77.1,0.7,0.0,0.0,0.0,0.0,18.0
Jason Brownlee NYJ,6.3,78.6,0.6,0.0,1.5,0.0,0.0,17.9
Tyquan Thornton NE,6.1,76.7,0.6,0.0,4.0,0.0,0.0,17.6
Ronnie Bell SF,6.3,76.0,0.6,0.0,2.0,0.0,0.0,17.6
Kayshon Boutte NE,6.3,78.6,0.5,0.0,2.5,0.0,0.0,17.6
Sterling Shepard TB,7.0,71.4,0.5,0.0,0.0,0.0,0.1,17.3
Ashton Dulin IND,6.1,70.5,0.6,0.0,2.0,0.0,0.0,17.1
Deonte Harty BAL,5.9,72.2,0.6,0.0,5.0,0.0,0.0,17.1
Charlie Jones CIN,6.2,76.3,0.5,0.0,1.7,0.0,0.0,16.8
KJ Hamler BUF,5.4,74.4,0.6,0.0,2.5,0.0,0.0,16.6
Laviska Shenault Jr. SEA,5.8,61.5,0.2,3.2,28.9,0.1,0.1,16.6
Bo Melton GB,5.9,69.0,0.5,1.0,6.3,0.0,0.1,16.3
Kyle Philips TEN,6.6,78.0,0.3,0.0,0.5,0.0,0.0,16.3
Michael Woods II CLE,5.3,68.9,0.6,0.0,2.0,0.0,0.0,15.9
Ben Skowronek HOU,5.4,65.9,0.6,0.0,2.0,0.0,0.0,15.7
Zach Pascal ARI,5.2,67.5,0.6,0.0,2.0,0.0,0.0,15.7
Malik Heath GB,5.4,64.6,0.6,0.0,1.5,0.0,0.0,15.6
Chris Conley SF,5.3,65.0,0.6,0.0,2.0,0.0,0.0,15.5
Dee Eskridge SEA,5.3,64.9,0.3,4.3,15.4,0.1,0.0,15.5
Tim Jones JAC,4.9,57.0,0.6,0.0,2.0,0.0,0.0,14.3
Scotty Miller PIT,5.6,69.5,0.3,0.0,1.3,0.0,0.0,14.2
Jalen Reagor NE,4.6,60.6,0.5,1.0,5.3,0.0,0.0,14.0
Equanimeous St. Brown NO,4.3,56.7,0.6,0.0,2.0,0.0,0.0,13.7
Byron Pringle WAS,4.4,46.3,0.6,0.0,2.0,0.0,0.0,12.9
River Cracraft MIA,6.9,51.6,0.1,0.0,0.0,0.0,0.0,12.7
Tre'Quan Smith DET,6.4,49.2,0.1,0.0,0.0,0.0,0.0,11.9
Terrace Marshall Jr. CAR,4.9,61.1,0.1,0.0,2.0,0.0,0.0,11.9
Britain Covey PHI,4.4,48.4,0.2,0.0,0.0,0.0,0.0,10.3
Josh Ali ATL,3.6,44.0,0.3,0.0,0.0,0.0,0.0,10.0
Tylan Wallace BAL,4.0,50.7,0.1,0.0,2.0,0.0,0.0,9.9
Racey McMath DAL,3.4,42.5,0.4,0.0,0.0,0.0,0.0,9.8
Tyler Johnson LAR,3.4,40.3,0.3,0.0,0.0,0.0,0.0,9.4
Dareke Young SEA,3.4,39.8,0.3,0.0,0.0,0.0,0.0,9.0
Easop Winston Jr. SEA,3.4,39.6,0.3,0.0,0.0,0.0,0.0,8.9
Martavis Bryant WAS,3.3,40.7,0.2,0.0,0.0,0.0,0.0,8.6
Denzel Mims JAC,3.4,39.9,0.2,0.0,0.0,0.0,0.0,8.6
Jacob Harris PHI,3.2,37.2,0.2,0.0,0.0,0.0,0.0,8.2
DJ Turner LV,3.3,37.5,0.2,0.0,0.0,0.0,0.1,8.1
Jaelon Darden CLE,3.2,37.2,0.2,0.0,0.0,0.0,0.0,8.1
Jha'Quan Jackson TEN,4.0,41.0,0.0,0.0,0.0,0.0,0.0,8.1
James Proche II CLE,3.2,37.0,0.2,0.0,0.0,0.0,0.0,8.0
Miles Boykin NYG,3.3,36.2,0.2,0.0,0.0,0.0,0.0,7.9
Phillip Dorsett II DEN,2.9,31.8,0.2,0.0,0.0,0.0,0.0,7.0
Damiere Byrd BUF,2.5,36.7,0.0,0.0,2.0,0.0,0.0,6.6
Trishton Jackson MIN,2.5,27.7,0.2,0.0,0.0,0.0,0.0,6.5
N'Keal Harry MIN,2.0,22.3,0.2,0.0,0.0,0.0,0.0,5.3
Andy Isabella BUF,1.8,23.5,0.2,0.0,0.0,0.0,0.0,5.2
Velus Jones Jr. CHI,1.9,25.0,0.1,0.0,3.0,0.0,0.0,5.2
Tom Kennedy DET,1.7,22.2,0.2,0.0,0.0,0.0,0.0,4.9
Daurice Fountain DET,1.7,22.0,0.2,0.0,0.0,0.0,0.0,4.9
Maurice Alexander DET,1.7,22.0,0.2,0.0,0.0,0.0,0.0,4.9
Montrell Washington KC,1.8,21.2,0.2,0.0,0.0,0.0,0.0,4.9
Braylon Sanders MIA,1.8,20.2,0.2,0.0,0.0,0.0,0.0,4.9
Samori Toure GB,1.7,21.2,0.2,0.0,0.0,0.0,0.0,4.9
Erik Ezukanma MIA,1.8,20.1,0.2,0.0,0.0,0.0,0.0,4.8
Elijah Cooks JAC,1.8,19.7,0.2,0.0,0.0,0.0,0.0,4.8
Seth Williams JAC,1.8,19.9,0.2,0.0,0.0,0.0,0.0,4.8
Collin Johnson CHI,1.7,20.4,0.2,0.0,0.0,0.0,0.0,4.8
Simi Fehoko LAC,1.7,20.2,0.2,0.0,0.0,0.0,0.0,4.8
