Player,POS,ATT,CMP,PASS_YDS,PASS_TDS,INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,FG,FGA,XPT,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Desmond Ridder ARI,QB,48.2,30.9,306.4,1.6,1.4,5.8,20.1,0.1,0.9,18.1,,,,,,,,,,,,,,
Kyle Trask TB,QB,44.7,26.9,264.6,1.7,0.9,5.5,13.5,0.1,0.2,18.1,,,,,,,,,,,,,,
Andy Dalton CAR,QB,45.5,28.5,270.3,1.5,0.9,4.7,16.6,0.1,0.1,17.8,,,,,,,,,,,,,,
Mike White MIA,QB,47.1,30.1,292.6,1.5,1.4,4.2,8.5,0.1,0.2,17.1,,,,,,,,,,,,,,
Spencer Rattler NO,QB,41.8,27.3,230.9,1.6,0.5,3.8,14.1,0.1,0.2,16.5,,,,,,,,,,,,,,
Tyler Huntley CLE,QB,0.0,0.0,202.0,1.0,1.0,0.0,24.0,0.0,0.0,13.5,,,,,,,,,,,,,,
Zach Wilson DEN,QB,0.0,0.0,200.0,1.0,1.0,0.0,17.0,0.0,0.0,12.7,,,,,,,,,,,,,,
Jaren Hall MIN,QB,0.0,0.0,174.0,1.0,1.0,0.0,26.0,0.0,0.0,12.6,,,,,,,,,,,,,,
Bailey Zappe NE,QB,0.0,0.0,200.0,1.0,1.0,0.0,15.0,0.0,0.0,12.5,,,,,,,,,,,,,,
Malik Willis TEN,QB,0.0,0.0,168.0,1.0,1.0,0.0,26.0,0.0,0.0,12.3,,,,,,,,,,,,,,
Tommy DeVito NYG,QB,0.0,0.0,190.0,1.0,1.0,0.0,17.0,0.0,0.0,12.3,,,,,,,,,,,,,,
Davis Mills HOU,QB,22.0,13.0,184.5,1.0,0.5,4.0,13.5,0.0,0.0,12.2,,,,,,,,,,,,,,
C.J. Beathard JAC,QB,0.0,0.0,186.0,1.0,1.0,0.0,15.0,0.0,0.0,11.9,,,,,,,,,,,,,,
Trey Lance DAL,QB,24.0,15.0,177.0,1.0,1.0,5.0,18.5,0.0,0.0,11.9,,,,,,,,,,,,,,
Kyle Allen PIT,QB,0.0,0.0,186.0,1.0,1.0,0.0,13.0,0.0,0.0,11.7,,,,,,,,,,,,,,
Jordan Travis NYJ,QB,0.0,0.0,188.0,1.0,1.0,0.0,10.0,0.0,0.0,11.5,,,,,,,,,,,,,,
Skylar Thompson MIA,QB,0.0,0.0,161.0,1.0,1.0,0.0,20.0,0.0,0.0,11.4,,,,,,,,,,,,,,
Taylor Heinicke ATL,QB,0.0,0.0,220.0,1.0,1.0,0.0,14.0,0.0,1.0,11.2,,,,,,,,,,,,,,
Clayton Tune ARI,QB,0.0,0.0,180.0,1.0,1.0,0.0,7.0,0.0,0.0,10.9,,,,,,,,,,,,,,
Michael Pratt GB,QB,16.0,11.0,156.0,1.0,0.5,2.0,10.0,0.0,0.0,10.7,,,,,,,,,,,,,,
Joe Milton III NE,QB,0.0,0.0,190.0,1.0,1.0,0.0,17.0,0.0,1.0,10.3,,,,,,,,,,,,,,
Stetson Bennett LAR,QB,0.0,0.0,92.0,1.0,0.0,0.0,13.0,0.0,0.0,9.0,,,,,,,,,,,,,,
Carter Bradley LV,QB,16.0,10.0,106.0,1.0,0.0,2.0,7.0,0.0,0.0,8.9,,,,,,,,,,,,,,
Sam Hartman WAS,QB,0.0,0.0,100.0,1.0,0.0,0.0,7.0,0.0,0.0,8.7,,,,,,,,,,,,,,
Tanner McKee PHI,QB,0.0,0.0,80.0,1.0,0.0,0.0,8.0,0.0,0.0,8.0,,,,,,,,,,,,,,
Sam Ehlinger IND,QB,0.0,0.0,76.0,1.0,0.0,0.0,8.0,0.0,0.0,7.8,,,,,,,,,,,,,,
Dorian Thompson-Robinson CLE,QB,0.0,0.0,87.0,0.0,0.0,0.0,13.0,0.0,0.0,4.8,,,,,,,,,,,,,,
Devin Leary BAL,QB,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,,,,,,,,,,,,,,
Christian McCaffrey SF,RB,,,,,,273.0,1290.4,11.6,1.7,351.0,69.9,567.4,4.8,,,,,,,,,,,
